0,0
0,32
0,136
0,20
0,70
0,28
0,19
0,72
0,55
0,29
0,66
0,68
0,140
0,15
0,30
0,16
0,49
1,128
1,8
1,26
1,41
1,21
1,40
1,61
1,25
1,71
1,38
1,56
1,59
1,18
1,37
1,90
1,62
1,145
1,1
1,7
1,49
1,44
1,102
1,107
1,97
1,33
1,126
1,118
1,103
1,77
1,125
1,132
1,96
1,84
1,42
1,95
1,83
1,94
1,105
2,27
2,12
2,4
2,2
2,29
2,65
2,122
2,107
2,109
2,36
2,48
2,78
2,51
2,74
2,84
2,54
2,126
3,3
3,137
3,86
3,115
4,65
4,12
4,2
4,23
4,73
4,74
4,136
4,27
4,69
4,51
4,4
4,107
4,123
5,67
5,146
5,50
5,48
5,9
5,12
5,57
5,5
5,75
5,27
5,76
5,33
5,123
5,107
6,25
6,11
6,75
6,7
6,38
6,33
6,76
6,57
6,26
7,11
7,6
7,7
7,38
7,26
7,1
7,128
7,75
7,57
7,25
7,23
7,145
7,33
7,141
8,103
8,54
8,96
8,106
8,1
8,21
8,40
8,41
8,4
8,71
8,26
8,38
8,126
8,61
8,25
8,73
8,91
8,128
9,67
9,146
9,50
9,48
9,57
9,5
9,12
9,92
9,98
9,76
9,27
9,33
9,52
9,75
9,45
9,39
9,113
9,83
9,79
9,114
9,130
9,133
10,127
10,114
10,128
11,25
11,6
11,38
11,7
11,11
11,75
11,76
12,12
12,107
12,27
12,65
12,50
12,5
12,48
12,9
12,67
12,2
12,84
12,52
12,122
12,76
12,36
12,66
13,23
13,73
14,57
14,141
14,76
14,67
14,47
14,48
15,16
15,30
15,140
15,19
15,20
15,28
15,32
15,12
15,55
15,70
15,72
15,136
16,140
16,68
16,20
16,19
16,66
16,29
16,32
16,136
16,70
16,72
16,15
16,30
16,16
16,17
17,30
17,28
17,140
17,66
17,70
17,19
17,16
17,68
17,15
17,20
17,127
17,72
17,55
17,0
17,32
17,17
17,136
17,49
18,1
18,73
19,17
19,140
19,28
19,49
19,16
19,68
19,15
19,0
19,20
19,32
19,30
19,70
19,55
19,72
19,29
19,136
20,17
20,140
20,15
20,16
20,30
20,72
20,68
20,136
20,55
20,0
20,28
20,70
20,32
20,19
20,20
20,29
20,66
20,109
21,8
21,56
21,84
21,109
21,1
21,71
21,126
21,107
21,128
22,118
22,83
22,121
22,45
23,13
23,73
23,69
23,4
23,107
23,92
23,39
23,27
23,113
23,51
23,46
23,32
23,49
23,65
23,23
23,147
23,109
23,54
23,12
23,130
23,133
24,113
24,88
24,108
24,18
24,147
24,92
24,86
24,124
24,34
24,135
24,79
25,1
25,128
25,11
25,59
25,18
25,21
25,26
25,61
25,40
25,145
25,126
26,25
26,1
26,61
